REAL_NAME,ID,REP,bud break,full bloom,first blue,last blue,BB-2-FB,FB-2-FIRSTBLUE,FB-2-LASTBLUE,FIRSTBLUE-2-LASTBLUE,BB-2-FIRSTBLUE,BB-2-LASTBLUE
NC4625-2,NC4625,2,3/8/2019,3/29/2019,5/9/2019,6/24/2019,21,41,87,46,62,108
NC4625-3,NC4625,3,3/8/2019,3/29/2019,5/9/2019,5/31/2019,21,41,63,22,62,84
NC4011-1,NC4011,1,3/1/2019,3/29/2019,5/9/2019,5/24/2019,28,41,56,15,69,84
NC4011-2,NC4011,2,3/1/2019,3/29/2019,5/9/2019,5/24/2019,28,41,56,15,69,84
NC3920-2,NC3920,2,3/1/2019,3/15/2019,5/17/2019,5/31/2019,14,63,77,14,77,91
NC3920-3,NC3920,3,3/1/2019,3/15/2019,5/9/2019,5/31/2019,14,55,77,22,69,91
NC4122-1,NC4122,1,3/1/2019,3/29/2019,5/9/2019,6/11/2019,28,41,74,33,69,102
NC4122-3,NC4122,3,3/1/2019,3/29/2019,5/9/2019,5/31/2019,28,41,63,22,69,91
